latitude,longitude,start_date,end_date,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
7.90656,3.51002,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.72534,3.32645,01/11/2023,07/11/2023,,568.2060947,0.037869822,2.443431953,23.81088757,0.90183432,19.06751479,45.31461538,1.277751479
7.87113,3.62101,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
7.93005,3.66809,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.91308,3.49709,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.96987,3.68039,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.7738,3.46834,01/11/2023,07/11/2023,,568.2060947,0.037869822,2.443431953,23.81088757,0.90183432,19.06751479,45.31461538,1.277751479
7.82244,3.46086,01/11/2023,07/11/2023,,568.2060947,0.037869822,2.443431953,23.81088757,0.90183432,19.06751479,45.31461538,1.277751479
7.84194,3.64485,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
7.89312,3.46128,01/11/2023,07/11/2023,,568.2060947,0.037869822,2.443431953,23.81088757,0.90183432,19.06751479,45.31461538,1.277751479
7.76215,3.39021,01/11/2023,07/11/2023,,568.2060947,0.037869822,2.443431953,23.81088757,0.90183432,19.06751479,45.31461538,1.277751479
7.74968,3.40417,01/11/2023,07/11/2023,,568.2060947,0.037869822,2.443431953,23.81088757,0.90183432,19.06751479,45.31461538,1.277751479
7.9131,3.49683,01/11/2023,07/11/2023,,574.2498817,0.112721893,2.825443787,22.12295858,0.735266272,19.2347929,42.26633136,1.373550296
7.79654,3.43528,01/11/2023,07/11/2023,,568.2060947,0.037869822,2.443431953,23.81088757,0.90183432,19.06751479,45.31461538,1.277751479
