latitude,longitude,start_date,end_date,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
8.26293,4.15496,2023-11-01,2023-11-07,,800.0594674556215,0.14378698224852074,4.616390532544377,24.071479289940836,1.7794674556213022,31.322544378698236,59.654911242603575,3.795562130177516
8.26912,4.30147,2023-11-01,2023-11-07,,724.7698816568045,0.04710059171597628,3.147041420118342,22.776213017751477,1.011538461538461,28.48343195266272,56.33769230769233,1.9594082840236702
8.20914,4.10217,2023-11-01,2023-11-07,,800.0594674556215,0.14378698224852074,4.616390532544377,24.071479289940836,1.7794674556213022,31.322544378698236,59.654911242603575,3.795562130177516
8.28035,4.17911,2023-11-01,2023-11-07,,800.0594674556215,0.14378698224852074,4.616390532544377,24.071479289940836,1.7794674556213022,31.322544378698236,59.654911242603575,3.795562130177516
8.2445,4.28512,2023-11-01,2023-11-07,,800.0594674556215,0.14378698224852074,4.616390532544377,24.071479289940836,1.7794674556213022,31.322544378698236,59.654911242603575,3.795562130177516
8.06736,4.235,2023-11-01,2023-11-07,,649.3616568047339,0.05295857988165677,3.1908875739644964,23.72076923076923,0.8900000000000005,21.432189349112427,44.86994082840236,1.704437869822485
8.13177,4.05139,2023-11-01,2023-11-07,,697.7701183431953,0.048698224852070975,3.902958579881654,23.20952662721894,0.9571005917159763,25.42337278106508,52.04461538461541,1.7669230769230773
8.17012,3.97284,2023-11-01,2023-11-07,,697.7701183431953,0.048698224852070975,3.902958579881654,23.20952662721894,0.9571005917159763,25.42337278106508,52.04461538461541,1.7669230769230773
8.16103,4.21702,2023-11-01,2023-11-07,,800.0594674556215,0.14378698224852074,4.616390532544377,24.071479289940836,1.7794674556213022,31.322544378698236,59.654911242603575,3.795562130177516
8.0531,4.13733,2023-11-01,2023-11-07,,649.3616568047339,0.05295857988165677,3.1908875739644964,23.72076923076923,0.8900000000000005,21.432189349112427,44.86994082840236,1.704437869822485
8.2865,4.38449,2023-11-01,2023-11-07,,724.7698816568045,0.04710059171597628,3.147041420118342,22.776213017751477,1.011538461538461,28.48343195266272,56.33769230769233,1.9594082840236702
8.10507,4.30148,2023-11-01,2023-11-07,,724.7698816568045,0.04710059171597628,3.147041420118342,22.776213017751477,1.011538461538461,28.48343195266272,56.33769230769233,1.9594082840236702
8.10585,4.20838,2023-11-01,2023-11-07,,800.0594674556215,0.14378698224852074,4.616390532544377,24.071479289940836,1.7794674556213022,31.322544378698236,59.654911242603575,3.795562130177516
8.08202,4.04051,2023-11-01,2023-11-07,,772.8033136094671,0.07035502958579878,5.03810650887574,24.671242603550283,1.6238461538461546,27.56260355029585,55.48988165680478,3.033668639053254
8.00839,3.99345,2023-11-01,2023-11-07,,772.8033136094671,0.07035502958579878,5.03810650887574,24.671242603550283,1.6238461538461546,27.56260355029585,55.48988165680478,3.033668639053254
8.24841,4.07799,2023-11-01,2023-11-07,,697.7701183431953,0.048698224852070975,3.902958579881654,23.20952662721894,0.9571005917159763,25.42337278106508,52.04461538461541,1.7669230769230773
8.04688,4.0175,2023-11-01,2023-11-07,,772.8033136094671,0.07035502958579878,5.03810650887574,24.671242603550283,1.6238461538461546,27.56260355029585,55.48988165680478,3.033668639053254
8.06313,4.04897,2023-11-01,2023-11-07,,772.8033136094671,0.07035502958579878,5.03810650887574,24.671242603550283,1.6238461538461546,27.56260355029585,55.48988165680478,3.033668639053254
7.9501,4.00842,2023-11-01,2023-11-07,,772.8033136094671,0.07035502958579878,5.03810650887574,24.671242603550283,1.6238461538461546,27.56260355029585,55.48988165680478,3.033668639053254
8.09174,4.0177,2023-11-01,2023-11-07,,772.8033136094671,0.07035502958579878,5.03810650887574,24.671242603550283,1.6238461538461546,27.56260355029585,55.48988165680478,3.033668639053254
7.93039,3.99624,2023-11-01,2023-11-07,,772.8033136094671,0.07035502958579878,5.03810650887574,24.671242603550283,1.6238461538461546,27.56260355029585,55.48988165680478,3.033668639053254
8.3452,4.23949,2023-11-01,2023-11-07,,689.3960355029583,0.07082840236686387,3.9302958579881664,23.36887573964497,0.9736094674556206,28.50224852071006,62.14390532544378,1.863254437869823
8.04263,4.07845,2023-11-01,2023-11-07,,772.8033136094671,0.07035502958579878,5.03810650887574,24.671242603550283,1.6238461538461546,27.56260355029585,55.48988165680478,3.033668639053254
8.07429,4.30936,2023-11-01,2023-11-07,,865.4930769230764,0.09597633136094672,4.48810650887574,19.30656804733727,1.548639053254438,33.43721893491123,55.31082840236688,3.126035502958582
7.95345,4.05403,2023-11-01,2023-11-07,,772.8033136094671,0.07035502958579878,5.03810650887574,24.671242603550283,1.6238461538461546,27.56260355029585,55.48988165680478,3.033668639053254
8.13242,4.40264,2023-11-01,2023-11-07,,724.7698816568045,0.04710059171597628,3.147041420118342,22.776213017751477,1.011538461538461,28.48343195266272,56.33769230769233,1.9594082840236702
8.00578,3.98706,2023-11-01,2023-11-07,,772.8033136094671,0.07035502958579878,5.03810650887574,24.671242603550283,1.6238461538461546,27.56260355029585,55.48988165680478,3.033668639053254
8.21168,4.10393,2023-11-01,2023-11-07,,800.0594674556215,0.14378698224852074,4.616390532544377,24.071479289940836,1.7794674556213022,31.322544378698236,59.654911242603575,3.795562130177516
8.06831,4.12685,2023-11-01,2023-11-07,,649.3616568047339,0.05295857988165677,3.1908875739644964,23.72076923076923,0.8900000000000005,21.432189349112427,44.86994082840236,1.704437869822485
7.96902,4.44864,2023-11-01,2023-11-07,,865.4930769230764,0.09597633136094672,4.48810650887574,19.30656804733727,1.548639053254438,33.43721893491123,55.31082840236688,3.126035502958582
